transaction_date,volume,,,
10/28/14,9702.14,,,
10/29/14,11940.85,,,
10/30/14,9785.92,,,
10/31/14,9415.55,,,
11/1/14,3587.45,,,
11/2/14,2154.95,,,
11/3/14,9975.74,,,
11/4/14,10443.29,,,
11/5/14,10196.87,,,
11/6/14,10126.1,,,
11/7/14,9591.3,,,
11/8/14,4757.49,,,
11/9/14,2995.15,,,
11/10/14,10913.99,,,
11/11/14,10443,,,
11/12/14,10177.42,,,
11/13/14,11570.71,,,
11/14/14,8800.96,,,
11/15/14,3235.81,,,
11/16/14,2801.86,,,
11/17/14,11224.73,,,
11/18/14,9407.11,,,
11/19/14,9079.84,,,
11/20/14,10406.03,,,
11/21/14,8587.36,,,
11/22/14,3547.64,,,
11/23/14,2677.19,,,
11/24/14,9503.62,,,
11/25/14,9070.8,,,
11/26/14,9110.76,,,
11/27/14,10001.91,,,
11/28/14,8268.13,,,
11/29/14,3786.86,,,
11/30/14,2431.48,,,
12/1/14,9429.64,,,
12/2/14,11260.96,,,
12/3/14,9800.43,,,
12/4/14,10580.71,,,
12/5/14,8653.19,,,
12/6/14,3588.02,,,
12/7/14,2353.27,,,
12/8/14,9007.03,,,
12/9/14,10077.16,,,
12/10/14,11143.84,,,
12/11/14,10588.11,,,
12/12/14,9376.61,,,
12/13/14,3729.15,,,
12/14/14,3190.72,,,
12/15/14,9556.12,,,
12/16/14,10439.8,,,
12/17/14,10655.65,,,
12/18/14,11834.65,,,
12/19/14,9656.8,,,
12/20/14,3537.28,,,
12/21/14,3163.63,,,
12/22/14,8669.95,,,
12/23/14,7905.67,,,
12/24/14,3548.03,,,
12/25/14,262.28,,,
12/26/14,284.31,,,
12/27/14,1950.97,,,
12/28/14,2147.37,,,
12/29/14,4749.23,,,
12/30/14,4170.2,,,
12/31/14,3144.07,,,
1/1/15,503.28,,,
1/2/15,3719.15,,,
1/3/15,1881.05,,,
1/4/15,2352.9,,,
1/5/15,8925.34,,,
1/6/15,8944.34,,,
1/7/15,9600.86,,,
1/8/15,10105.26,,,
1/9/15,8010.38,,,
1/10/15,3243.54,,,
1/11/15,2195.71,,,
1/12/15,10592.86,,,
1/13/15,8516.44,,,
1/14/15,8992.76,,,
1/15/15,9289.09,,,
1/16/15,8373.54,,,
